DEPTH,PHIE,SWE,VSH,PERM_TIM,GR,CALI,RHOB,ILD,NPHI
3384.4992,0.039,1,0.117,0.006,59.34289932,12.65250015,2.255199909,2.375499964,28.39150047
3384.6516,0.036,0.869,0.144,0.004,61.37549973,12.64050007,2.260900021,2.485699892,27.82559967
3384.804,0.02,0.742,0.163,0.0,62.68349838,12.56719971,2.283400059,2.628599882,27.51689911
3384.9564,0.011,0.608,0.186,0.0,64.14550018,12.50839996,2.296600103,2.826699972,27.58909988
3385.1088,0.013,0.455,0.239,0.0,67.18219757,12.46949959,2.296600103,2.937200069,27.86319923
3385.7184,0,1,0.809,0.0,85.27950287,12.41320038,2.395699978,3.545700073,27.32719994
3385.8708,0,1,1.0,0.0,88.94830322,12.43389988,2.386899948,3.639800072,27.31959915
3386.0232,0,1,1.0,0.0,91.30680084,12.43470001,2.37409997,3.584700108,27.07690048
3386.1756,0,1,1.0,0.0,91.9509964,12.43550015,2.375,3.629699945,27.07460022
3429.0,0.005,0.003,0.996,0.0,83.06500244,12.28859997,2.248899937,95.78939819,24.06879997
3429.762,0,1,0.048,0.0,37.94219971,12.2901001,2.161499977,139.0561981,18.67140007
3429.9144,0.025,0.095,0.024,0.001,34.35609818,12.29039955,2.124599934,138.5789032,17.90780067
3430.0668,0.045,0.099,0.023,0.01,34.06150055,12.27079964,2.101300001,142.7749939,16.32410049
3430.2192,0.052,0.093,0.024,0.02,34.36510086,12.29100037,2.093600035,141.2404938,15.13189983
3430.9812,0.086,0.02,0.15,0.202,49.04370117,12.21269989,2.085000038,104.9503021,16.59000015
3431.1336,0.087,0.019,0.171,0.209,50.81290054,12.27289963,2.088000059,99.28230286,18.14870071
3431.286,0.076,0.019,0.175,0.117,51.14609909,12.27320004,2.100699902,94.33319855,18.7621994
3431.4384,0.069,0.019,0.187,0.073,52.0707016,12.26539993,2.111399889,90.40799713,20.42900085
3432.2004,0.025,0.023,0.207,0.001,53.5685997,12.26280022,2.164799929,67.57189941,24.27020073
3432.3528,0.028,0.022,0.235,0.001,55.54639816,12.2553997,2.164900065,62.03779984,24.32099915
3432.5052,0.04,0.019,0.295,0.006,59.26259995,12.2755003,2.15989995,55.70569992,24.23209953
3432.6576,0.052,0.022,0.305,0.02,59.86600113,12.25949955,2.147399902,48.17900085,23.15889931
3433.4196,0.018,0.034,0.508,0.0,69.19249725,12.25739956,2.205699921,18.79120064,27.34740067
3433.572,0,1,0.602,0.0,72.57640076,12.27760029,2.234100103,17.78879929,27.65329933
3433.7244,0,1,0.701,0.0,75.64890289,12.25800037,2.247900009,16.71069908,29.39259911
3433.8768,0,1,0.727,0.0,76.42669678,12.27820015,2.264400005,15.49400044,29.73620033
3434.0292,0,1,0.715,0.0,76.07050324,12.26970005,2.274499893,14.58990002,29.99029923
3434.6388,0,1,0.687,0.0,75.26090241,12.27970028,2.252799988,8.463000298,26.62229919
3434.7912,0,1,0.745,0.0,76.9332962,12.27999973,2.299900055,7.683199883,26.44149971
3434.9436,0,1,0.847,0.0,79.60359955,12.28030014,2.34800005,6.672599793,26.6984005
3435.096,0,1,0.992,0.0,82.99009705,12.30060005,2.368299961,6.167300224,27.38260078
3435.2484,0,1,1.0,0.0,84.90509796,12.30090046,2.369299889,5.972899914,27.78610039
3435.858,0,1,1.0,0.0,97.38819885,12.29640007,2.376499891,8.092000008,29.4647007
3436.0104,0,1,1.0,0.0,97.25219727,12.32229996,2.363500118,8.829199791,30.05200005
3436.1628,0,1,1.0,0.0,96.20290375,12.36250019,2.341700077,12.41189957,30.39189911
3436.3152,0,1,1.0,0.0,97.23760223,12.30300045,2.337300062,15.6413002,30.21039963
3436.4676,0,1,1.0,0.0,98.31030273,12.32120037,2.314199925,16.65649986,29.95940018
3437.0772,0,1,1.0,0.0,97.30519867,12.20470047,2.254699945,56.0970993,30.04100037
3437.2296,0,1,1.0,0.0,95.60790253,12.22490025,2.254800081,66.13829804,30.12899971
3437.382,0.013,0.005,1.0,0.0,92.65809631,12.20530033,2.260699987,70.06140137,29.79739952
3437.5344,0,1,1.0,0.0,86.90440369,12.22550011,2.268199921,68.97370148,28.93149948
3437.6868,0,1,0.804,0.0,78.51039887,12.24380016,2.272799969,65.57299805,27.86590004
3438.2964,0.019,0.014,0.376,0.0,63.52529907,12.20699978,2.192100048,62.45690155,27.47139931
3438.6012,0,1,0.348,0.0,62.15850067,12.21730042,2.215600014,61.55469894,28.52109909
3438.7536,0.003,1,0.327,0.0,61.07949829,12.24940014,2.205499888,58.77840042,27.86310005
3438.906,0.007,0.017,0.315,0.0,60.37490082,12.26809979,2.199899912,60.7682991,27.00629997
3439.5156,0,1,0.125,0.0,46.70600128,12.22939968,2.186000109,100.2062988,27.07699966
3439.668,0,1,0.097,0.0,43.92789841,12.22970009,2.187299967,106.2556992,25.74270058
3439.8204,0,1,0.069,0.0,40.63800049,12.25,2.191999912,110.740799,23.86980057
3439.9728,0,1,0.063,0.0,39.81740189,12.23320007,2.188999891,116.729599,23.02809906
3440.1252,0,1,0.057,0.0,39.04040146,12.1906004,2.173000097,144.732193,23.29039955
3440.7348,0,1,0.014,0.0,32.57789993,12.1718998,2.168100119,161.9376984,22.90500069
3440.8872,0,1,0.015,0.0,32.88190079,12.19209957,2.167999983,120.7769013,22.66760063
3441.0396,0,1,0.016,0.0,32.88639832,12.19239998,2.158600092,81.44110107,22.44680023
3441.192,0,1,0.006,0.0,31.14319992,12.17980003,2.150000095,65.58740234,22.42490006
3441.3444,0,1,0.0,0.0,29.25930023,12.17300034,2.148799896,48.11989975,22.05109978
3441.954,0,1,0.039,0.0,36.55220032,12.22659969,2.201200008,22.36310005,21.33810043
3442.1064,0,1,0.08,0.0,42.00880051,12.25440025,2.2421,20.43799973,21.23130035
3442.2588,0,1,0.129,0.0,47.12829971,12.23480034,2.284300089,20.07089996,21.94059944
3442.5636,0,1,0.343,0.0,61.86980057,12.17539978,2.300199986,17.31769943,26.04050064
3443.1732,0,1,0.606,0.0,72.69039917,12.20040035,2.286499977,19.69879913,28.14249992
3443.3256,0,1,0.615,0.0,72.99169922,12.17710018,2.257699966,20.29310036,28.26440048
3443.478,0,1,0.647,0.0,74.01450348,12.17720032,2.266000032,20.8314991,28.83799934
3443.6304,0,1,0.702,0.0,75.68430328,12.17749977,2.302299976,21.04070091,28.82559967
3443.7828,0,1,0.727,0.0,76.42299652,12.23770046,2.319600105,29.36109924,29.0515995
3444.3924,0,1,0.423,0.0,65.72000122,12.23890019,2.269599915,49.13510132,26.80389977
3444.5448,0,1,0.258,0.0,57.02780151,12.23919964,2.237299919,44.81600189,26.81800079
3444.6972,0,1,0.188,0.0,52.1753006,12.21949959,2.235599995,41.76290131,25.47410011
3444.8496,0,1,0.114,0.0,45.64989853,12.23980045,2.270299912,41.13079834,21.19599915
3445.002,0,1,0.125,0.0,46.7140007,12.12839985,2.318300009,41.92620087,19.37240028
3445.6116,0,1,0.283,0.0,58.55519867,12.30239964,2.283699989,49.50529862,23.14290047
3445.764,0,1,0.374,0.0,63.43889999,12.2816,2.262099981,51.3553009,24.66629982
3445.9164,0,1,0.463,0.0,67.40529633,12.27910042,2.319900036,64.33180237,25.01709938
3446.0688,0,1,0.447,0.0,66.75050354,12.26220036,2.39289999,65.88359833,24.14999962
3446.2212,0,1,0.36,0.0,62.76710129,12.3423996,2.459899902,65.52500153,22.47949982
